URL,XPath 1,XPath 2,XPath 3,XPath 4,XPath 5,XPath 6,XPath 7,XPath 8,XPath 9,XPath 10
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-25,21,33,35,38,45,12,$50 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-29,1,26,34,38,51,6,$60 Million,None,None,"CA, GA (2)"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-02,2,6,11,30,31,33,$70 Million,None,MA,"MA, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-06,23,24,27,39,41,30,$80 Million,None,ME,"CA, CT"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-09,4,15,17,35,58,17,$90 Million,None,None,"CA, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-13,1,25,29,31,47,7,$100 Million,None,None,"CA, FL, OH"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-16,24,29,38,48,52,32,$110 Million,None,None,"IA, MD, PA, TX"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-20,1,12,28,35,44,25,$121 Million,None,FL,"CA, NC, SC"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-23,9,15,17,31,43,16,$138 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-27,8,15,34,53,59,23,$154 Million,None,None,"CA (2), NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-05-30,8,9,25,56,57,22,$170 Million,None,"FL, PA (2)",FL
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-03,6,8,13,37,40,11,$189 Million,AZ,None,"ID, NC (2)"
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-06,8,13,18,27,43,15,$40 Million,None,None,SC
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-10,31,32,48,49,53,25,$50 Million,None,None,"CA, FL, TN"
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-13,29,41,48,52,54,29,$60 Million,None,OK,"CA, GA, NE, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-17,20,21,22,41,54,7,$70 Million,None,None,CA
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-20,9,10,16,20,57,15,$80 Million,FL,None,TX
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-24,3,5,10,22,32,7,$40 Million,None,None,"CA (2), GA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-06-27,18,28,35,46,49,27,$50 Million,None,None,"GA, MA, OH"
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-01,7,24,26,31,41,25,$60 Million,None,None,OH
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-04,3,6,14,18,24,21,$70 Million,MO,"NC, PA","FL, NC"
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-08,4,15,25,27,30,18,$40 Million,None,None,"KY, NH"
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-11,11,39,46,52,54,3,$50 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-15,13,16,34,45,50,11,$60 Million,None,None,FL (2)
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-18,6,37,39,45,55,33,$70 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-22,12,31,43,44,57,11,$80 Million,None,None,TN
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-25,27,29,34,41,44,2,$90 Million,None,PR,CA
https://www.powerball.com/draw-result?gc=powerball&date=2015-07-29,4,22,27,28,52,35,$100 Million,None,None,IL
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-01,7,13,24,49,57,15,$110 Million,CA,None,WI
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-05,9,11,14,16,42,19,$40 Million,None,None,"CA, LA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-08,9,34,48,52,54,15,$50 Million,None,None,AZ
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-12,8,13,29,38,52,28,$60 Million,None,None,"CA (2), MO"
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-15,3,13,17,42,52,24,$70 Million,None,LA,"IA, NJ"
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-19,6,8,43,48,50,7,$80 Million,None,PA,MA
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-22,4,12,14,21,55,7,$90 Million,None,None,"GA, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-26,2,22,32,45,56,12,$100 Million,None,None,"AR, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-08-29,18,21,25,28,29,16,$110 Million,None,PR,"CA, FL, GA, TX (2)"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-02,17,22,30,46,56,16,$120 Million,None,None,"FL (2), KS"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-05,10,16,18,29,45,19,$134 Million,None,"KY, ND",MO
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-09,44,45,47,50,51,8,$149 Million,None,TX,"GA, NY, OK"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-12,2,3,13,16,35,27,$169 Million,None,None,CA (2)
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-16,5,7,24,31,39,7,$188 Million,None,FL,"KY, MN"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-19,12,17,26,43,48,24,$212 Million,None,"IL, VA (2)","CA, FL, IA, MA (2), PA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-23,8,29,41,51,58,5,$239 Million,None,CO,"CA, ID, NJ, WI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-26,23,31,42,50,57,5,$267 Million,None,None,"FL, MA, MO (2), NJ, NY, OK, VA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-09-30,21,39,40,55,59,17,$311 Million,MI,RI,"CA, CT, NE, WI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-03,6,26,33,44,46,4,$40 Million,None,TN,SC
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-07,18,30,40,48,52,9,$50 Million,None,None,"CA, FL, GA, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-10,12,27,29,43,68,1,$60 Million,None,None,NH
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-14,15,20,29,31,40,1,$70 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-17,48,49,57,62,69,19,$80 Million,None,None,PA
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-21,30,32,42,56,57,11,$90 Million,None,None,"CA, NM"
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-24,20,31,56,60,64,2,$100 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-28,4,54,56,62,63,10,$110 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-10-31,9,20,25,47,68,7,$128 Million,None,None,None
